Supplementary Table S1: Analytical Data of Roots after 6h or 24h dexamethasone treatment (and subsequent exudation for 24h into LC/MS-grade water).																																												
																																												
	t-test		Fold Change		Raw data																																							
	6h Dex-24h H2O	24h Dex-24h H2O	DD/KR 6h Dex-24h H2O	DD/KR 24h Dex-24h H2O	Exp1_KR51-Rep1_6hDex.24hH2O	Exp1_KR51-Rep2_6hDex.24hH2O	Exp2_KR51-Rep1_6hDex.24hH2O	Exp2_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep1_6hDex.24hH2O	Exp3_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep3_6hDex.24hH2O	Exp4_KR51-Rep1_6hDex.24hH2O	Exp4_KR51-Rep2_6hDex.24hH2O	Exp4_KR51-Rep3_6hDex.24hH2O	Exp1_DD55-Rep1_6hDex.24hH2O	Exp1_DD55-Rep2_6hDex.24hH2O	Exp2_DD55-Rep1_6hDex.24hH2O	Exp2_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep1_6hDex.24hH2O	Exp3_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep3_6hDex.24hH2O	Exp4_DD55-Rep1_6hDex.24hH2O	Exp4_DD55-Rep2_6hDex.24hH2O	Exp4_DD55-Rep3_6hDex.24hH2O	Exp1_KR51-Rep1_24hDex.24hH2O	Exp1_KR51-Rep2_24hDex.24hH2O	Exp2_KR51-Rep1_24hDex.24hH2O	Exp2_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep1_24hDex.24hH2O	Exp3_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep3_24hDex.24hH2O	Exp4_KR51-Rep1_24hDex.24hH2O	Exp4_KR51-Rep2_24hDex.24hH2O	Exp4_KR51-Rep3_24hDex.24hH2O	Exp1_DD55-Rep1_24hDex.24hH2O	Exp1_DD55-Rep2_24hDex.24hH2O	Exp2_DD55-Rep1_24hDex.24hH2O	Exp2_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep1_24hDex.24hH2O	Exp3_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep3_24hDex.24hH2O	Exp4_DD55-Rep1_24hDex.24hH2O	Exp4_DD55-Rep2_24hDex.24hH2O	Exp4_DD55-Rep3_24hDex.24hH2O
1Me-I3COOH	5,26E-01	4,07E-01	1,0	0,7	33639,79591	19224,6012	30099,14038	32145,67105	66906,23608	79789,584	69069,4812	94897,66765	100537,584	75461,568	49965,89483	55451,6592	81861,55191	10481,9939	66347,28144	68783,568	49622,01868	130891,0643	89063,69961	87410,7248	63519,33576	50556,56084	67121,26907	59681,40517	69276,48	56098,56	108706,5877	110096,448	88299,8559	57760,047	71934,21746	112124,2129	88180,488	43281,14451	46336,416	48972,66337	44393,19706	25423,824	44340,576	107084,5226
1MeO-I3MNH2	0,00E+00	0,00E+00	0,6	0,4	39293,7432	51414,48282	50789,82169	50553,4104	207007,9839	169088,4202	157132,9923	188837,3142	185088,8747	204994,0485	32279,136	28050,57281	17927,01666	50072,67265	144444,514	159864,498	115871,6861	112446,2139	75237,49507	160663,9108	133618,485	148581,1716	78766,95568	102490,1594	151635,1354	197962,2737	184121,28	221734,464	258332,7267	171160,08	71824,23519	69016,22392	97017,34997	70428,28548	73938,66924	91569,25635	40652,87781	71807,90108	81296,88	27220,72787
1MeOI3M GLS	1,48E-01	1,90E-06	0,7	0,4	1971288,492	2652942,229	1832496,782	1787775,989	5650798,426	4562740,157	4278740,354	5675659,27	5469050,716	5915308,965	1603805,725	1342232,71	221018,3293	2110144,403	4016095,106	4515570,233	4037579,278	3795036,473	2392999,056	4664781,728	6501765,079	7351568,084	2656512,517	4668989,063	4990534,015	6077561,335	5594549,301	5982028,128	6849741,22	5639473,832	3287081,572	1583740,992	3077608,182	2230943,291	2429218,848	2899044,808	1099050,527	2345876,568	2360682,441	605843,5685
2,3-DHBA 3-Xyl	1,60E-01	1,67E-04	0,7	0,5	64871,28348	108833,0946	106731,6725	110261,6453	111176,7134	98420,73936	78174,20539	87489,86342	87976,896	38684,016	85057,72916	62116,10274	119780,2418	111538,6829	85798,272	52030,917	52655,7878	67165,392	45233,71457	45427,536	161622,1741	175327,8208	110415,0916	129677,9022	281380,848	124467,5358	198930,6394	135779,9123	119002,5427	106805,6094	63006,15101	74146,56399	79123,81779	72837,22016	97805,00538	112419,9551	26226,00578	24962,05932	33125,24117	19808,71779
2,5-DHBA Pent	1,07E-02	1,50E-04	0,5	0,2	40908,89131	62987,88346	64926,05689	65435,28107	98628,19068	104071,3431	82539,98781	77420,57338	87983,952	30539,37967	47135,4792	32830,59561	73998,70459	72474,48962	63575,06842	29814,624	29529,696	38789,54805	29398,91611	26959,296	117657,614	126614,7663	96143,10583	89124,6356	402386,3649	233081,4234	338757,6629	212653,056	173578,142	135757,104	37853,94711	34818,29158	34456,38885	50569,35086	36283,21937	61221,28955	11963,35488	12158,88874	16981,44	5509,4659
4MeO-I3CHO	9,68E-01	6,79E-01	0,9	0,8	732,5162526	1580,1664	613,3264615	1200,131856	13516,608	20924,96065	8036,112	13981,632	21298,032	13303,74619	3201,487309	1818,404348	3626,528455	3787,619478	9028,601616	13007,232	10784,96924	13399,10013	13696,71058	24205,06055	2881,229914	3979,446939	2180,89	2925,673143	12939,45715	9331,728	17421,5041	26850,096	18469,248	14220,26305	6646,055791	7630,5755	8345,382273	5858,055548	15781,92	10244,304	7995,456	9513,774707	13666,40006	13592,009
4MeO-I3MNH2	2,87E-01	1,47E-02	0,9	0,4	55629,79904	54723,24294	52177,08348	53479,416	134854,7614	134329,104	147338,84	103305,3203	118862,9366	153769,9844	53043,28611	48739,92697	48635,81383	55447,29716	120060,7773	107652,5952	96863,78904	101196,7221	94483,2	105036,6284	46781,02198	46719,21544	44522,256	44043,14912	115109,3879	143992,926	124982,5413	124421,8204	125439,0493	127081,6873	36868,34831	37340,06376	38370,78395	31997,17461	91795,46112	72424,464	47515,81593	59958,28562	71132,67406	55714,42388
4MeOI3M GLS	1,00E-01	1,07E-03	0,8	0,4	2562874,745	2592123,239	2383666,959	2344255,118	3922092,544	3703473,229	3929501,295	3360600,145	3776793,552	4479119,904	2446092,329	2226028,29	2041436,162	2455885,725	3448372,756	3070179,14	3274948,594	3160869,264	2820427,069	3117235,968	2235283,36	2232936,301	1914389,628	1913294,345	3732173,705	4461904,578	3934505,202	3906031,917	4025357,06	4316224,722	1594276,277	1206368,248	1525622,984	1059827,223	2857408,598	2430620,565	1363436,592	1947324,624	2184932,4	1796186,628
6-(Malonyl-GlcO)-I3CO2H	2,03E-04	3,15E-04	2,2	2,1	56284,3219	49207,925	43912,80518	42944,70787	103006,4771	102115,44	83253,94577	92003,44038	64891,87694	155751,7365	124331,8015	101478,3915	113163,4956	150211,0658	244631,856	220454,64	161862,1452	196843,584	166149,6346	245042,572	45140,4603	49141,74418	45686,025	48725,4	73634,05912	74198,31868	69826,88935	98254,57789	77358,49671	88259,31067	178467,3584	163315,4203	177445,8799	131022,7073	272477,8749	253480,0047	117820,9724	91624,95798	133829,136	81042,79422
7-MeSO-Heptyl-CN 	6,45E-02	4,03E-03	0,5	0,6	4200,3576	3684,657284	3751,915511	4171,310714	30181,18179	50121,87828	30215,136	29433,68626	46888,128	16093,24128	2657,280578	3005,07705	3209,806125	2291,368617	18755,51326	13669,152	14549,472	14856,576	9184,224	16797,312	12288,13874	11633,2452	12910,62025	15854,59669	21810,432	20976,52914	33542,86915	38953,488	37155,74854	31863,888	2970,864884	4255,88226	3500,574706	3010,793143	18239,03634	13738,71815	17944,08	15587,376	11726,736	15220,95811
7MeS-Heptyl GLS	1,53E-02	1,46E-04	0,2	0,0	119224,0848	276290,6565	90028,26168	87332,40936	1021852,526	387187,057	426046,2718	402076,3852	617806,56	1191110,964	37226,3724	37052,6747	410,4911538	65554,90097	99659,28	319097,184	141943,2085	148808,209	17230,21149	352559,088	355619,1822	603823,8541	77575,45843	292734,0271	692956,9487	1293428,285	382213,2546	1005836,443	1334877,936	1253378,112	44937,81391	4913,403429	22766,09443	19466,64506	65067,20895	27382,93178	25161,96942	14479,584	43426,68856	2436,31641
7MeSO-Heptyl-NH2	4,81E-05	2,97E-05	9,4	5,9	4393,096661	7286,165424	8673,749628	9021,888683	12695,23459	15958,70295	12504,48048	40108,656	40314,82038	6972,113182	39967,68122	42346,893	39174,58848	43179,27392	133676,7664	104601,4024	118285,4416	123223,1625	97169,21121	110155,7298	11480,90255	8805,97294	7254,918544	9423,225455	18380,32774	14914,05984	21470,53951	19292,19627	14081,00112	12263,36468	49353,63231	51330,73979	52955,6926	47804,48619	162884,0359	150332,3819	102905,3907	82303,61855	109838,8391	73117,06315
8-MeS-Octyl-NH2	1,15E-01	2,55E-01	2,0	0,7	7519,511267	19979,62633	12951,0192	13414,20397	23510,86265	28289,09584	46188,08259	55842,50833	48958,224	21788,592	23977,76273	11051,66175	24824,13267	27647,70084	65330,16	49303,632	57556,77448	52710	54470,64	39878,496	18340,94882	15801,05617	12915,96287	18262,3999	53919,28056	39805,584	39391,43919	70474,992	35073,696	37386,048	5712,499473	11405,63788	5670,806625	2496,275775	23931,06907	24787,9824	28854,86512	43915,56766	50598,89827	47586,81972
8-MeSO-Octyl-CN 	8,92E-02	4,65E-03	0,5	0,8	56492,14163	62680,7712	54149,56843	53693,59052	342664,224	551269,5875	347562,432	329329,056	491657,7987	209916,672	31582,61062	34896,41473	41759,07364	36285,31826	263272,464	170682,624	198814,8496	199320,2558	112960,6457	217180,2523	193886,0822	195168,3067	213851,0584	266773,0527	278308,7942	261760,8	390208,56	529414,8901	493694,656	427662,5071	45845,07938	65193,99746	43211,29894	44528,18756	249660,432	240450	273749,2004	243823,776	206388	208898,7793
8-MeSO-Octyl-CO2H	6,36E-01	6,28E-03	1,3	0,4	225,8949882	181,8312353	265,9073294	233,9278235	2896,32	3625,776	1934,688	2415,743633	2833,824	1868,94088	514,9754667	811,7400375	618,4640182	308,1811765	3480,463429	2781,2275	2405,288775	2634,688	2357,871247	3309,801218	1315,6425	1962,19565	1333,0656	2378,641771	772,128	2124,864	1988,784	5212,231143	2189,0297	2662,8	350,5835714	684,3503333	306,912	318,6217059	1321,626812	1336,86855	919,46016	1137,909853	1987,778	654,864
8-MeSO-Octyl-CONH2	1,82E-02	6,94E-03	0,1	0,1	212,4395	533,5572273	532,5126545	495,8106545	16727,66906	46796,33697	13379,856	22603,056	31185,08539	7805,952	428,4093913	383,3377364	335,3228182	429,3783	1640,688	1776,432	2296,56	1423,484267	889,056	1381,632	1124,8992	1024,18668	819,0549545	1153,19207	10553,57131	10447,92	16178,83911	25225,32168	26876,304	18322,7712	258,6064286	431,8134261	563,9222727	421,0032	2089,417582	2103,029345	898,128	2503,872	2945,712	955,92
8-MeSO-Octyl-NCS 	2,09E-01	3,43E-03	0,8	0,5	500734,2672	381064,851	482104,0416	483257,8512	702010,7395	1392218,208	1397398,643	910218,3078	1192360,708	994447,104	351025,5094	465588,9315	466158,9429	243594,9855	1008089,57	787806,096	797847,12	1071619,92	532233,5936	739962,1549	1153342,864	762122,203	1056690,656	890764,2388	810222,9329	942500,2025	1035910,848	1102924,746	935124,4888	991481,5577	367513,0868	369933,5244	335008,7781	274082,1646	717354,9519	702108,288	1159083,71	469674,4039	516720,96	1121496,432
8MeS-Octyl GLS	4,14E-02	8,90E-05	0,4	0,2	1641987,268	2974249,465	1099166,625	1065316,103	6604570,589	4762068,192	4982460,719	4879283,904	5321269,632	7543603,594	462666,8804	564544,2882	7510,42	705972,2872	2751844,704	4042058,082	3247620,623	3284612,321	1506710,762	4644664,889	3234124,951	4597790,256	809785,0101	2717232,056	5478699,786	7177861,162	4324109,855	6937136,103	7603538,88	7309563,171	598128,3088	58552,24731	260283,7373	272475,4246	1994064,504	1850663,55	1767087,707	1536754,58	2462043,389	320295,3855
8MeSO-Octyl GLS	1,53E-01	4,68E-07	0,5	0,3	406945,1238	513919,6206	432663,0886	426475,9153	1696391,088	1682438,605	1483513,584	1437689,904	1908201,33	1671939,046	228422,2531	241364,622	110005,9848	551485,1004	1221410,478	1271225,893	1251842,105	1019561,006	506575,1608	1427849,756	1578088,363	1863541,411	845315,9965	1595936,028	1515424,196	2046891,168	1535094,347	2109355,597	2413537,419	2174579,904	347199,1795	203759,829	290822,3385	236670,7826	817442,5606	928327,9999	697231,1632	518421,4772	706208,6027	211893,2302
9,10-Dihydrohydroxy-JA Sulfate	4,48E-01	3,66E-02	1,1	0,6	38061,95556	41745,24378	564,3589091	27690,46701	93213,27754	103984,3392	40812,15465	42236,88551	57235,514	89135,7039	13275,35016	35268,67305	18736,42569	16088,41108	59802,5229	61927,152	61999,33189	83584,32229	10241,616	69562,95469	42225,57669	45376,7402	35115,58445	39094,90244	56156,12186	131537,5916	79710,29379	59929,968	69248,928	64487,808	44127,77486	42078,47918	26689,33755	27149,80551	82741,45311	38234,72183	17773,728	27586,84509	34482,02966	43776,84471
9,12,13-Trihydroxy-10(E),15(Z)- octadecadienoic acid	2,81E-01	7,88E-03	1,5	6,0	2604,668077	4627,9254	2678,208968	2972,4855	1093,68	393,8589714	364,896	549,7894857	744,3823929	489,4787143	12683,75441	6611,6375	3434,134428	3539,399136	1617,097375	1218,7245	636,048	684,6066	381,5059286	367,7298667	6305,028124	7186,183697	5188,97106	7365,23928	588,4110429	467,712	1740,48	1557,459321	2790,144	498,9918214	37988,00055	40262,71624	52124,4091	24063,96523	5230,319667	9417,521	3988,992	9307,479	17888,07282	2290,322057
9,12,13-Trihydroxyoctadec-10-enoic acid 	3,66E-01	1,18E-03	2,2	30,1	8439,81565	13292,01977	12823,87425	11582,1215	721,2901091	705,5198182	370,0094	251,1200571	762,7729714	347,8191429	37010,78032	18017,01455	13306,84591	14942,90648	2022,987556	1270,931591	586,32	357,2388667	544,5409091	582,8717143	16419,58592	19667,51952	16525,85304	24486,72019	1099,392	458,304	2367,893338	1019,76	2198,672743	230,9301429	106029,8315	111506,6583	145330,8239	74362,00469	22204,84444	34390,31431	23704,29566	66011,89858	71614,40009	846,048
Adenosine 	2,66E-01	9,69E-01	1,0	1,2	6715,083652	4633,771638	7337,33	8333,319249	19847,184	55943,01729	45712,6948	36678,432	34698,22827	14805,84	6632,998816	5586,402496	2956,789283	1546,94957	23255,568	30064,65151	17610,74009	27404,062	24798,32218	17331,216	4174,13376	14333,19725	6070,526068	4635,19737	20241,984	17345,48331	28509,936	25519,56124	18977,91324	15638,10438	3647,977667	2007,041285	2847,16954	3454,009427	20914,992	27346,368	18996,48969	26580,624	24900,288	23003,00088
