Geneid	WT1	WT2	dFNR1	dFNR2
b1770	65	56	46	33
b1771	54	43	38	22
b1772	33	18	15	7
b1773	28	25	23	6
b1774	49	10	22	6
b1775	50	11	22	9
b1776	69	43	35	21
b1777	53	50	105	71
b1778	73	84	259	186
b1779	40388	52596	32140	21735
b1780	686	779	458	307
b1781	190	232	125	73
b1782	1302	1667	1428	867
b1783	822	1035	1979	1324
b1784	215	217	454	253
b1785	36	26	6	5
b1786	105	77	89	57
b1787	271	335	313	205
b1788	68	76	84	50
b1789	87	83	60	36
b1790	91	92	69	45
b1791	85	60	55	34
b1792	137	195	128	116
b1793	67	81	57	38
b1794	177	276	283	130
b4676	1	4	4	1
b4675	8	3	3	6
b1795	650	776	720	506
b1796	6	3	3	3
b1797	9	8	8	4
b1798	50	42	59	33
b1799	174	175	155	110
b1800	108	107	137	81
b1801	67	12	9	12
b1802	44	9	13	17
b1803	47	31	21	11
b1804	225	252	222	115
b1805	191	184	107	77
b1806	232	290	257	146
b1807	340	404	319	222
b1808	302	341	262	205
b1809	432	627	565	346
b1810	69	83	133	68
b1811	103	103	75	51
b1812	270	296	268	168
b1813	180	226	192	124
b1814	321	395	366	235
b1815	99	92	94	53
b1816	441	461	468	293
b1817	2964	3574	4792	2962
b1818	4234	5097	6826	4240
b1819	2967	3517	4450	2886
b1820	48	50	70	35
b1821	52	33	44	34
b1822	141	179	171	86
b1823	889	933	893	474
b1824	2376	3094	2751	1679
b1825	140	210	99	70
b1826	107	126	57	40
b4536	64	70	53	31
b1827	602	840	654	461
b1828	82	40	18	17
b1829	998	1273	991	702
b1830	2523	3497	2448	1424
b1831	1982	2772	2154	1522
b1832	697	910	795	537
b1833	123	128	121	97
b1834	439	450	486	342
b1835	169	187	208	118
b1836	424	543	779	431
b1837	60	61	55	44
b1838	89	67	60	52
b4432	51	60	72	33
b4433	43	52	63	33
b1839	82	74	124	100
b1840	194	189	626	349
b1841	107	136	342	172
b1842	141	144	126	91
b1843	107	131	127	75
b1844	281	314	244	192
b1845	242	285	318	199
b1846	101	85	85	52
b1847	234	266	776	498
b1848	161	208	156	136
b1849	1259	1596	1651	1011
b1850	1415	1881	1680	946
b1851	777	965	772	535
b1852	1663	2311	2487	1737
b1853	399	458	271	164
b1854	8809	11481	2722	1642
b1855	386	502	464	301
b1856	392	450	430	300
b1857	211	261	254	148
b1858	166	225	140	112
b1859	199	273	184	98
b1860	524	612	530	359
b1861	177	240	198	152
b4677	1	1	0	0
b1862	47	32	24	16
b1863	455	517	368	284
b1864	2000	2574	1801	1256
b1865	711	988	735	496
b1866	4277	5796	4039	2770
b1867	225	279	285	212
b1868	59	90	80	61
b1869	275	329	257	183
b1870	247	284	256	165
b1871	305	400	366	236
b1872	145	97	70	65
b1873	39	12	4	6
b1874	337	382	324	207
b1875	210	217	207	128
b1876	1932	2213	1840	1301
b1877	14	6	6	3
b1878	21	13	11	1
b1879	155	87	85	65
b1880	49	12	8	8
b1881	45	37	42	15
b1882	32	34	33	26
b1883	61	20	22	9
b1884	32	14	11	6
b1885	72	20	7	17
b1886	82	14	12	13
b1887	27	11	21	9
b1888	102	45	32	24
b1889	31	18	6	5
b1890	33	12	8	4
b1891	61	84	33	25
b1892	70	107	59	38
b1893	27	26	16	8
b1894	10	11	8	4
b1895	161	167	223	134
b1896	566	709	1198	819
b1897	329	396	662	429
b4460	104	79	86	46
b1900	90	57	37	30
b1901	45	15	18	8
b1902	86	113	93	56
b4537	40	47	67	14
b4663	7	7	5	5
b1904	14	11	6	6
b1905	703	934	1795	1085
b1906	126	188	72	51
b1907	243	254	215	119
b1908	460	602	462	325
b1909	13	14	5	12
b1910	99	146	68	37
b1911	538	701	300	218
b1912	285	332	283	169
b1913	718	989	850	510
b1914	708	867	536	400
b1915	52	29	18	9
b1916	89	80	39	31
b1917	353	440	375	240
b1918	285	383	343	204
b1919	699	967	825	539
b1920	2673	3602	3189	2072
b1921	30	18	18	11
b1922	44	24	8	7
b1923	253	372	233	129
b1924	64	32	23	12
b1925	22	13	7	7
b1926	8	7	9	5
b1927	507	686	870	632
b1928	431	529	407	296
b1929	1092	1347	437	267
b1930	52	67	21	14
b1931	45	34	32	26
b1932	41	33	71	55
b4495	10	0	1	1
b1936	10	8	7	2
b1937	21	17	12	6
b1938	71	7	11	13
b1939	52	30	18	12
b1940	47	15	2	6
b1941	72	13	13	6
b1942	18	3	4	2
b1943	67	26	23	17
b1944	20	13	2	6
b1945	44	15	11	9
b1946	24	2	5	3
b1947	20	2	1	0
b1948	20	2	7	8
b1949	18	6	2	2
b1950	21	16	5	12
b1951	41	22	40	23
b1952	48	50	38	24
b1953	98	103	166	116
b1954	12	23	22	19
b1955	181	183	267	194
b1956	279	297	296	174
b1957	148	169	226	137
b1958	441	508	456	284
b1959	73	36	34	37
b1960	64	46	37	43
b1961	492	595	517	312
b1962	217	320	233	167
b1963	109	170	95	76
b4603	2	0	0	0
b4496	92	94	56	49
b1967	196	321	582	377
b1968	64	48	58	24
b1969	70	66	76	38
b1970	10	5	7	6
b1971	152	110	151	117
b1972	33	35	43	25
b1973	16	13	9	6
b1974	50	57	105	53
b1975	6	3	5	4
b1976	235	331	349	199
b1977	16	10	4	3
b1978	433	352	295	198
b4497	26	7	7	6
b1981	363	389	355	203
b1982	554	656	991	583
b1983	485	588	474	321
b1984	8	1	2	0
b1985	154	147	112	81
b1986	11	11	5	2
b1987	172	204	138	97
b1988	51	39	111	76
b1989	6	1	1	0
b1990	180	197	219	118
b1991	397	511	376	212
b1992	355	442	310	189
b1993	150	177	128	80
b4639	7	6	1	0
b1994	296	295	279	177
b4640	63	54	48	40
b4641	51	71	108	51
b4582	60	54	65	31
b1996	124	136	123	96
b1997	59	89	70	35
b1999	48	42	43	34
b4435	8	9	74	29
b2000	1196	1426	21196	13710
b2001	101	81	564	380
b2002	29	20	31	21
b2003	23	17	15	8
b2004	25	19	7	4
b2005	16	5	6	2
b2006	30	25	18	14
b4642	7	7	8	1
b4538	20	15	5	7
b2007	1382	1731	1777	1104
b2008	201	230	249	122
b2009	236	267	308	174
b2010	105	81	78	53
b2011	322	424	380	238
b2012	218	254	154	97
b2013	1042	1235	1234	714
b2014	743	839	845	523
b4678	28	38	40	22
b2015	94	81	82	51
b2016	825	1030	870	531
b4539	65	89	75	57
b2017	155	188	156	104
b2018	37	31	18	20
b2019	781	919	1280	857
b2020	957	968	1360	932
b2021	750	900	1143	809
b2022	1198	1384	1703	1124
b2023	515	609	738	522
b2024	707	798	978	621
b2025	531	635	756	487
b2026	473	488	651	395
b2027	1734	2091	1647	960
b2028	178	193	278	182
b2029	8379	10798	11026	7123
b4571	291	387	348	213
b2030	390	447	395	258
b2032	196	302	276	166
b2033	286	430	398	219
b2034	354	515	468	232
b2035	222	335	308	180
b2036	554	866	779	452
b2037	286	394	384	211
b2038	241	321	295	154
b2039	665	913	818	486
b2040	631	869	743	408
b2041	785	1144	1070	636
b2042	2155	2888	2599	1675
b2043	56	48	34	20
b2044	76	46	32	24
b2045	72	29	24	13
b2046	55	13	23	12
b2047	73	8	16	16
b2048	64	12	21	14
b2049	77	22	32	24
b2050	57	12	11	15
b2051	17	5	8	5
b2052	57	27	18	13
b2053	42	19	28	25
b2054	14	2	0	7
b2055	23	1	3	4
b2056	27	7	7	1
b2057	45	13	7	10
b2058	18	5	7	6
b2059	30	5	6	9
b2060	75	11	12	13
b2061	21	2	5	4
b2062	37	8	8	8
b2063	436	514	576	370
b2064	545	690	491	350
b2065	888	1126	736	556
b2066	434	595	395	255
b2067	301	223	355	203
b2068	136	114	124	88
b2069	143	97	116	50
b2070	124	77	52	31
b2071	18	1	1	2
b2072	36	12	5	6
b2073	35	18	14	7
b4436	6	2	8	5
b4667	2	0	0	2
b4437	15	6	14	10
b4668	0	4	3	3
b2074	143	144	125	108
b2075	335	249	244	169
b2076	243	164	156	112
b2077	101	69	64	45
b2078	80	67	79	67
b2079	156	189	175	87
b2080	229	326	477	276
b2081	616	774	578	377
b4438	3	1	0	3
b2082	25	37	25	17
b2083	10	5	7	3
b2085	9	8	10	4
b2086	138	146	213	162
b4498	288	337	327	172
b2088	32	34	20	16
b2089	133	150	131	94
b2091	2857	3386	4127	2481
b2092	10468	12046	15473	9323
b2093	1792	2000	2472	1418
b2094	2987	3736	4456	2367
b2095	19578	23626	28438	16661
b2096	14004	18089	21908	12950
b2097	2311	3196	5687	3649
b2098	66	32	24	15
b2099	116	101	63	58
b2100	117	106	47	37
b2101	140	150	117	66
b2102	74	78	52	28
b2103	485	595	496	303
b2104	738	846	855	524
b2105	51	53	33	26
b2106	43	26	14	15
b2107	72	100	83	70
b2108	19	6	3	3
b2109	93	17	13	16
b2110	10	0	0	0
b2111	19	13	0	1
b2112	99	80	122	54
b2113	1862	2441	2371	1412
b2114	2519	3411	3046	1974
b4499	179	75	48	47
b2118	178	96	77	42
b4541	4	1	1	0
b2119	48	1	2	8
b2120	126	26	17	19
b2121	47	10	8	10
b2122	127	56	42	28
b2123	18	12	11	4
b2124	76	88	77	35
b2125	82	94	84	57
b2126	142	141	119	77
b2127	144	157	260	155
b4542	21	24	40	21
b2128	99	94	111	78
b2129	174	142	171	116
b2130	159	145	178	112
b2131	206	223	308	168
b2132	1080	1291	864	650
b2133	996	1278	2363	1522
b2134	311	428	367	208
b2135	99	81	209	122
b2136	126	161	115	67
b2137	142	151	188	128
b2139	67	17	15	11
b4679	14	3	8	5
b2140	127	89	71	57
b2141	42	62	48	38
b2142	105	128	124	96
b2143	342	524	507	337
b2144	82	81	59	35
b2145	12	11	5	5
b2146	186	219	271	199
b2147	186	211	268	168
b2148	56	14	20	17
b2149	35	13	18	16
b2150	32	12	43	28
b2151	62	28	21	18
b2152	136	169	293	149
b2153	712	889	2033	1151
b2154	357	414	536	389
b2155	123	84	73	57
b2156	1662	2279	2804	1668
b2157	212	219	157	117
b2158	206	208	192	120
b2159	220	301	328	230
b2160	175	166	165	104
b2161	63	18	20	13
b2162	35	5	6	3
b2163	21	3	3	6
b2164	52	39	29	30
b2165	44	8	5	10
b2166	20	7	2	4
b2167	858	967	854	577
b2168	348	417	317	210
b2169	433	441	366	259
b2170	95	66	34	21
b4502	57	45	25	17
b2171	312	413	327	212
b2172	76	42	15	26
b2173	154	145	137	98
b2174	37	58	32	21
b2175	1001	996	648	413
b2176	157	122	78	54
b2177	218	205	146	84
b2178	95	68	57	35
b2179	104	81	70	54
b2180	263	293	220	142
b2181	40	42	43	35
b2182	343	431	305	174
b2183	430	683	404	319
b2184	150	131	123	60
b2185	1522	1890	1354	950
b2186	488	603	522	357
b2187	178	225	186	115
b2188	481	566	507	282
b2189	9	9	0	2
b2190	297	353	243	184
b2192	408	484	388	301
b2193	665	883	620	424
b2194	127	123	61	40
b2195	61	50	30	16
b2196	305	247	160	90
b2197	142	212	98	56
b2198	54	76	32	17
b2199	190	226	122	69
b2200	79	82	49	25
b2201	82	100	50	33
b2202	151	186	82	43
b2203	46	37	12	11
b2204	99	62	25	19
b2205	91	83	30	20
b2206	475	491	184	110
b2207	19	18	5	6
b2208	62	48	23	11
b2209	90	69	198	107
b2210	83	57	135	105
b2211	101	33	37	22
b2212	43	34	35	26
b2213	169	178	154	111
b2214	116	120	73	61
b2215	70056	99374	74662	49052
b4439	1	2	0	0
b2216	1127	1404	1409	858
b2217	1039	1326	1115	659
b2218	559	644	534	390
b2219	75	59	38	25
b2220	71	64	34	31
b2221	32	8	1	11
b2222	24	4	4	4
b2223	42	9	9	4
b2224	51	21	22	25
b2225	34	15	8	9
b2226	90	32	22	27
b4500	217	105	91	81
b2229	21	3	2	2
b2230	68	43	29	24
b2231	5920	7223	6067	4145
b2232	616	818	547	438
b2233	525	536	381	249
b2234	576	674	3244	2073
b2235	535	669	1641	1001
b2236	43	42	87	60
b2237	151	167	170	106
b2238	15	7	0	6
b2239	143	136	119	78
b2240	83	38	31	33
b2241	88	12	3	7
b2242	51	16	17	18
b2243	65	26	22	16
b2244	156	167	140	88
b4543	43	42	34	20
b2245	77	62	51	36
b2246	74	56	18	21
b2247	43	8	6	2
b2248	37	10	4	8
b2249	458	553	385	244
b2250	107	99	95	62
b2251	56	53	47	29
b2252	182	224	295	169
b2253	1361	1670	2145	1538
b2254	583	761	947	646
b2255	1551	1933	2424	1635
b2256	267	342	342	271
b2257	211	158	182	115
b4544	58	42	51	40
b2258	62	49	45	12
b2259	75	67	50	14
b2260	361	386	289	164
b2261	728	839	664	432
b2262	899	1138	1000	666
b2263	208	298	182	136
b2264	449	443	218	153
b2265	368	400	346	220
b2266	1245	1590	2842	1892
b2267	214	255	265	165
b2268	129	126	131	79
b2269	24	8	1	2
b2270	80	36	16	19
b2271	23	3	6	1
b2272	29	20	5	13
b2273	18	2	0	3
b2274	12	9	9	4
b2275	32	38	23	12
b2276	1403	1567	1151	692
b2277	1356	1492	1182	650
b2278	2116	2221	1586	977
b2279	252	278	205	125
b2280	651	705	503	295
b2281	368	434	294	189
b2282	985	1122	818	517
b2283	3582	4137	2899	1764
b2284	1436	1617	1055	614
b2285	724	871	499	310
b2286	2253	2531	1528	929
b2287	981	1176	678	401
b2288	627	787	392	232
b2289	465	644	429	271
b2290	599	687	324	173
b2291	133	140	136	86
b2292	421	424	239	169
b2293	822	1060	1084	750
b2294	1159	1576	1545	1084
b2295	193	215	180	124
b2296	6925	9112	3029	1965
b2297	10062	13767	5621	3423
b2298	239	282	26	27
b2299	499	686	619	415
b2300	492	610	550	419
b2301	202	186	211	165
b2302	61	80	140	75
b2303	284	350	809	538
b2304	422	471	599	441
b2305	101	112	117	89
b2306	126	142	271	164
b2307	95	110	275	179
b2308	239	250	593	371
b2309	574	727	2553	1539
b2310	51	46	205	100
b2311	133	122	140	61
b2312	2040	2640	2586	1673
b2313	1056	1394	1294	690
b2314	370	439	413	261
b2315	669	799	703	541
b2316	2636	3321	3045	2078
b2317	329	461	501	260
b2318	558	734	698	409
b2319	856	1109	1048	681
b2320	1091	1269	1219	779
b2321	193	232	195	135
b2322	123	115	93	70
b2323	5199	7038	5162	3525
b2324	359	372	289	214
b2325	152	138	155	72
b2326	290	330	330	156
b2327	234	277	240	150
b2328	320	402	416	225
b2329	1170	1529	1504	983
b2330	1233	1493	1289	768
b2331	260	339	268	170
b2332	177	196	139	102
b2333	17	7	4	3
b2334	21	8	7	5
b2335	24	6	4	5
b2336	33	10	5	9
b4661	175	77	57	41
b2339	10	0	0	0
b2340	418	591	516	392
b2341	150	82	62	49
b2342	52	17	15	17
b2343	294	456	154	123
b2344	90	74	137	61
b2345	9	8	8	5
b2346	624	672	560	346
b2347	99	94	138	91
b2348	7	2	2	3
b2349	130	150	116	58
b2350	166	202	143	90
b2351	273	344	277	158
b2352	100	81	83	42
b2353	35	21	14	16
b2354	36	28	13	18
b2355	15	1	2	2
b2356	11	0	0	0
b2357	14	1	0	2
b2358	15	6	0	2
b2359	13	5	4	2
b2360	32	16	23	12
b2361	13	0	2	1
b2362	6	0	1	2
b2363	7	6	1	1
b4545	2	0	0	1
b4501	9	8	5	1
b4643	4	1	1	1
b2364	62	56	49	32
b2365	50	36	36	18
b2366	125	134	125	80
b2367	30	7	5	8
b2368	33	8	10	4
b2369	208	302	232	146
b2370	230	189	193	97
b2371	47	14	17	10
b2372	22	6	3	1
b2373	43	14	8	12
b2374	47	14	17	7
b2375	22	6	5	2
b2376	30	25	26	25
b2377	95	110	101	60
b2378	72	49	52	28
b4680	10	5	5	2
b2379	632	746	733	463
b2380	179	188	162	105
b2381	140	213	189	159
b2382	74	89	69	52
b2383	121	64	44	31
b2384	61	18	8	18
b2385	57	8	10	7
b2386	59	8	6	7
b2387	5	0	1	0
b2388	594	772	823	537
b2389	123	158	137	85
b2390	70	45	99	55
b2392	126	151	229	143
b2393	882	1010	895	547
b2394	280	355	259	203
b2395	225	278	244	158
b2396	11	8	7	4
b2397	142	244	96	83
b2398	82	104	73	41
b2399	46	57	38	29
b2400	2923	3732	2971	1923
b2401	1827	2248	986	677
b2402	317	577	255	180
b2403	64	86	41	39
b2404	7	5	1	2
b2405	82	61	77	37
b2406	75	58	36	21
b2407	36	7	14	7
b2408	27	28	22	16
b2409	101	75	70	53
b2410	234	232	232	151
b4546	54	63	38	39
b2411	782	988	702	484
b2412	1733	2185	1596	1052
b2413	174	234	221	141
b2414	12534	17901	18759	12164
b2415	2833	3816	2602	1600
b2416	13119	17079	11331	7358
b2417	3579	4301	2984	2152
b2418	533	636	443	301
b2419	38	51	48	19
b2420	146	154	93	52
b2421	1723	2526	1757	1175
b2422	2213	2969	2233	1729
b2423	1133	1300	1023	742
b2424	780	1014	817	504
b2425	1582	2258	1884	1215
b2426	248	262	159	108
b2427	58	50	53	34
b2428	129	97	76	43
b2429	133	85	62	44
b2430	83	73	63	24
b2431	1125	1448	618	432
b2432	292	370	324	244
b2433	124	138	92	85
b2434	346	440	304	193
b2435	244	279	170	116
b2436	193	216	109	70
b2437	124	124	71	73
b2438	80	91	74	44
b2439	134	114	107	77
b2440	137	133	124	104
b2441	687	829	739	479
b2442	162	142	117	95
b2443	58	69	55	37
b2444	6	5	6	7
b2445	16	10	10	5
b2446	42	40	39	16
b2447	55	27	26	14
b2448	21	19	13	10
b2449	66	60	54	52
b2450	261	318	263	189
b2451	80	22	11	15
b2452	85	23	19	18
b2453	111	22	18	21
b2454	50	9	8	4
b2455	70	15	18	17
b2456	11	1	4	2
b2457	17	8	7	8
b2458	53	20	19	16
b2459	35	5	7	7
b2460	26	7	7	10
b2461	11	6	5	1
b2462	8	3	0	0
b2463	819	940	1133	651
b2464	707	922	1710	1073
b2465	1561	1927	3749	2565
b2466	181	188	316	201
b2467	109	130	140	84
b2468	371	334	88	68
b2469	245	266	205	134
b2470	297	218	162	115
b4606	9	17	5	1
b2471	124	151	103	54
b2472	558	709	542	360
b4547	52	63	43	28
b2473	324	367	322	226
b2474	438	422	380	267
b2475	541	808	680	449
b2476	3652	5102	5297	3273
b2477	2503	3291	3025	1899
b2478	3268	4480	4044	2584
b2479	469	492	553	337
b2480	458	635	534	310
b2481	32	6	3	3
b2482	109	35	24	16
b2483	27	3	1	3
b2484	65	7	9	8
b2485	27	10	5	3
b2486	79	34	33	25
b2487	117	46	31	34
b2488	24	15	20	15
b2489	50	22	30	20
b2490	23	16	7	10
b2491	102	41	32	32
b2492	94	59	53	36
b2493	354	441	368	214
b2494	751	955	970	609
b2495	276	367	425	256
b2496	409	502	257	175
b2497	1611	1803	578	339
b2498	2987	3746	1342	908
b2499	3382	4095	3707	2264
b2500	519	603	576	333
b2501	725	999	892	592
b2502	537	622	583	414
b2503	123	71	24	25
b2504	76	55	86	28
b2505	22	12	3	13
b2506	22	10	14	5
b2507	5938	7685	7244	4398
b2508	6465	8832	8091	5113
b2509	629	707	491	317
b2510	76	82	63	40
b2511	993	1295	1151	706
b2512	2106	2579	2203	1459
b2513	805	1210	966	626
b2514	2438	3052	2670	1578
b2515	1442	1895	1626	1027
b2516	952	1208	1097	725
b2517	486	568	531	310
b2518	76	122	166	93
b2519	221	153	141	109
b2520	1547	1858	1591	971
b2521	345	440	441	309
b4440	128	154	115	84
b2522	127	193	124	102
b2523	818	897	751	482
b2524	95	159	95	56
b2525	264	357	256	182
b2526	1162	1331	1085	709
b2527	191	291	195	137
b2528	539	770	566	375
b2529	502	797	561	405
b2530	2221	3058	2343	1612
b2531	196	234	310	186
b2532	581	785	722	503
b2533	596	779	598	367
b2534	28	22	11	7
b2535	97	97	94	75
b2536	134	124	99	69
b2537	42	7	27	33
b4706	0	0	0	0
b2538	199	208	157	125
b2539	37	29	18	9
b2540	25	23	10	13
b2541	62	48	40	31
b2542	112	96	87	61
b2543	115	139	145	118
b2544	90	71	57	38
b2545	127	116	96	75
b2546	68	36	42	15
b2547	79	28	22	27
b2548	28	16	11	8
b2549	163	43	26	29
b2550	118	108	75	51
b2551	17832	24335	21114	12861
b2552	136	114	382	778
b2553	285	335	295	206
b2554	265	291	268	156
b2555	167	149	133	105
b2556	292	291	234	153
b4441	261	257	248	157
b2557	7626	9585	8533	5495
b2558	134	99	86	74
b2559	193	196	153	98
b2560	279	354	341	210
b2561	149	172	145	123
b2562	64	57	36	35
b4687	9	1	3	2
b4608	7	7	8	9
b2563	95	143	126	103
b2564	803	988	999	653
b2565	194	229	169	116
b2566	760	1075	804	542
b2567	482	611	486	306
b2568	642	806	694	439
b2569	2177	2846	2311	1595
b2570	190	293	210	132
b2571	810	1059	976	610
b2572	1671	2205	2232	1367
b2573	1561	2003	1951	1102
b2574	1073	1617	1704	1132
b2575	240	330	283	144
b2576	488	596	503	337
b2577	83	82	56	38
b2578	49	40	40	27
b2579	1209	1835	85	53
b2580	264	313	261	173
b2581	692	825	673	457
b2582	40	30	48	38
b2583	54	49	44	25
b2584	427	513	519	335
b2585	1069	1317	1089	728
b2586	65	93	152	72
b2587	490	657	1538	882
b2588	229	330	179	125
b2589	2849268	3273260	3232245	1920469
b2590	241	384	226	197
b2591	358218	338697	444338	230554
b2592	4326	5800	7633	5251
b4609	11	25	26	12
b2593	249	310	290	205
b2594	548	728	764	495
b2595	1787	2124	2053	1192
b2597	320	434	487	318
b2598	31	27	32	20
b2599	542	593	776	456
b2600	1135	1385	925	593
b2601	1625	2094	1383	807
b2602	19	12	25	14
b2603	55	52	56	22
b2604	78	68	67	46
b2605	60	59	58	23
b2606	2899	3800	3297	1831
b2607	7228	10073	9000	6162
b2608	5823	7712	6934	4430
b2609	3500	4488	4149	2560
b2610	1443	1875	1793	1107
b2611	198	275	225	122
b4461	273	303	296	165
b2614	1438	1943	1832	1225
b2615	270	332	339	180
b2616	231	200	224	138
b2617	678	764	611	351
b2618	38	40	29	15
b2619	165	197	215	124
b2620	408	457	447	242
b2621	289976	381128	318529	221596
b2622	286	369	318	214
b2623	70	66	32	15
b2624	6	7	2	3
b2625	28	10	4	2
b2626	11	2	2	3
b2627	419	493	299	183
b2628	370	423	266	181
b2629	28	15	13	8
b2630	963	1239	950	615
b2631	111	139	125	65
b2632	81	29	24	29
b2633	51	14	22	14
b2634	48	13	16	12
b2635	10	2	1	1
b2636	24	2	5	5
b2637	41	31	39	19
b2638	10	18	6	9
b2641	109	106	64	52
b2642	52	72	61	31
b4644	8	3	3	6
b2643	29	15	14	2
b2644	17	8	3	8
b4548	7	7	2	2
b2645	11	9	3	10
b2646	18	10	8	6
b4645	5	2	2	3
b2647	417	290	228	179
b2648	7	3	2	1
b2650	13	5	4	1
b2652	4	1	0	0
b4462	32	7	6	9
b2659	90	29	26	21
b2660	149	110	138	73
b2661	309	329	353	255
b2662	333	315	367	218
b2663	66	38	88	51
