Geneid	WT1	WT2	dFNR1	dFNR2
b2664	194	192	277	156
b2665	621	763	1400	950
b2666	33	58	41	27
b2667	22	21	14	14
b2668	67	84	43	26
b2669	621	914	318	256
b2670	24	28	88	79
b2671	41	39	73	52
b2672	641	768	1251	859
b2673	6	7	3	4
b2674	14	7	3	10
b2675	83	58	44	32
b2676	25	9	7	11
b2677	96	56	75	50
b2678	116	79	108	52
b2679	82	61	57	51
b2681	87	57	33	21
b2682	337	439	399	236
b2683	137	146	104	69
b2684	519	691	477	324
b2685	435	471	291	204
b2686	379	451	265	177
b2687	1734	2385	2372	1561
b4442	73	106	75	63
b2688	1487	1946	1786	1192
b2689	249	350	281	201
b2690	364	417	262	179
b2691	28	70	25	13
b2692	166	293	147	84
b2693	263	353	262	103
b2694	415	541	370	216
b2695	1093	1437	753	582
b2696	429	475	410	253
b2697	8983	11869	9276	6288
b2698	18	12	18	13
b2699	1911	2509	2489	1677
b2700	266	326	311	219
b2701	1066	1101	850	708
b2702	20	6	10	6
b2703	50	7	29	24
b2704	16	3	29	23
b2705	71	44	123	87
b2706	20	18	12	9
b2707	180	225	130	111
b2708	279	294	204	117
b2709	262	265	217	152
b2710	80	58	53	38
b2711	86	59	40	24
b2712	749	970	347	215
b2713	663	994	482	318
b2714	191	238	191	109
b2715	114	62	46	39
b2716	120	90	90	53
b2717	312	436	262	181
b2718	373	508	274	216
b2719	592	890	480	317
b2720	355	577	274	236
b2721	1728	2465	1318	1016
b2722	627	978	498	320
b2723	1612	2267	1269	886
b2724	525	797	439	325
b2725	525	866	435	321
b2726	294	430	129	120
b2727	799	1152	296	291
b2728	150	242	54	54
b2729	942	1297	350	312
b2730	704	939	279	261
b2731	259	326	169	152
b2732	26	23	19	21
b2733	688	682	540	358
b2734	19	10	7	8
b2735	165	179	128	100
b2736	45	15	24	9
b2737	98	24	38	21
b2738	24	12	17	12
b2739	44	17	20	15
b2740	103	54	37	26
b2741	4955	6571	12320	7911
b2742	4686	5862	10009	6691
b2743	321	375	297	229
b2744	298	385	344	232
b2745	531	656	538	378
b2746	176	289	255	170
b2747	298	388	308	208
b2748	234	269	211	170
b2749	87	98	125	73
b2750	644	906	740	479
b2751	4606	5924	5038	3337
b2752	2437	3179	2941	1815
b2753	120	157	101	68
b2754	14	29	13	9
b2755	111	96	66	50
b2756	44	43	31	29
b2757	24	22	27	11
b2758	48	32	39	12
b2759	14	5	9	8
b2760	50	18	19	18
b2761	123	56	32	34
b4701	1	2	0	0
b2762	1253	1641	1543	947
b2763	4729	5984	5303	3755
b2764	4193	5511	4726	3276
b2765	49	71	49	23
b2766	79	43	15	16
b2767	15	8	4	3
b2768	24	16	9	3
b2769	70	27	30	21
b2770	52	20	14	10
b2771	65	9	11	3
b4463	64	15	23	16
b2774	23	1	3	3
b2775	58	20	18	11
b2776	62	24	23	27
b2777	186	202	200	143
b4682	3	0	0	0
b2778	16	4	1	5
b2779	25740	33959	34987	21256
b2780	4402	5766	4686	2929
b2781	286	367	318	224
b2782	99	122	93	75
b2783	141	168	121	94
b2784	1410	1825	1570	1150
b2785	426	496	511	289
b2786	376	355	277	167
b2787	148	104	153	80
b2788	60	43	39	25
b2789	77	14	17	13
b2790	213	226	184	129
b2791	95	105	113	55
b2792	36	51	40	17
b4408	57693	64130	75449	44956
b2793	140	158	155	79
b2794	224	314	227	148
b2795	582	698	653	414
b2796	590	682	395	239
b2797	289	276	150	108
b2798	84	93	82	54
b2799	104	86	80	73
b2800	41	25	22	21
b2801	34	9	7	6
b2802	106	43	43	32
b2803	85	70	74	41
b2804	95	132	110	82
b2805	130	159	112	76
b2806	537	659	454	340
b2807	205	223	192	129
b2808	170	232	164	113
b4443	13	21	14	11
b2809	47	57	119	76
b2810	309	349	279	160
b2811	141	172	139	96
b2812	321	402	331	207
b2813	638	789	612	417
b2814	526	732	318	182
b2815	155	208	94	65
b2816	19	19	12	9
b2817	421	537	476	314
b2818	1600	2170	2755	1830
b2819	529	571	613	415
b2820	770	902	780	546
b2821	557	580	624	360
b2822	571	621	538	334
b2823	46	17	24	10
b2824	39	19	18	13
b2825	42	19	18	19
b2826	22	7	5	4
b2827	422	505	453	296
b2828	383	407	423	272
b2829	1447	1814	1572	916
b2830	602	698	709	397
b2831	88	119	56	46
b2832	114	115	95	59
b2833	84	82	88	43
b2834	706	790	849	504
b2835	279	281	189	119
b2836	473	508	460	283
b4444	4	0	1	0
b4445	9	2	7	2
b2837	311	371	248	150
b2838	788	1061	848	501
b2839	128	112	105	68
b2840	288	312	237	183
b2841	128	121	76	65
b2842	86	61	56	53
b2843	54	29	27	20
b2844	67	30	62	33
b2845	39	21	24	17
b2846	12	6	4	4
b2847	62	42	23	16
b2848	9	11	5	1
b4683	1	1	1	0
b2849	4	3	0	1
b2850	4	4	2	0
b2851	7	1	2	1
b2852	10	9	3	0
b2853	2	0	0	0
b2854	2	0	1	0
b2856	15	1	0	1
b2858	9	0	0	1
b2859	2	3	4	2
b2860	107	104	108	62
b2861	62	71	43	29
b2863	65	45	36	17
b2864	9	4	1	5
b2865	254	324	266	143
b2866	144	84	67	58
b2867	58	20	32	30
b2868	28	6	11	11
b2869	106	68	52	50
b2870	33	11	7	4
b2871	83	22	18	17
b2872	69	18	16	15
b2873	80	15	16	19
b2874	68	47	23	21
b2875	134	72	64	46
b2876	37	17	7	9
b2877	28	18	22	2
b2878	162	61	47	45
b2879	48	11	11	8
b2880	32	12	7	12
b2881	167	83	74	67
b2882	74	36	37	21
b2883	115	89	72	42
b4464	96	55	40	26
b2886	17	12	8	3
b2887	115	45	27	26
b2888	63	8	9	2
b4684	0	0	0	1
b2889	72	69	100	67
b2890	3292	4522	3426	2307
b2891	2014	2854	2175	1421
b2892	857	1035	875	614
b2893	378	528	487	311
b2894	348	409	327	208
b2895	338	425	383	254
b2896	187	246	183	123
b2897	231	365	208	175
b2898	705	780	817	532
b2899	158	179	106	76
b2900	123	197	153	105
b2901	1117	1439	1564	984
b2902	100	63	62	50
b2903	795	1098	984	700
b2904	199	289	243	181
b2905	329	442	336	212
b2906	460	534	472	312
b2907	865	1008	980	633
b2908	1520	1907	1759	1121
b2909	923	1190	1013	645
b2910	777	999	1045	620
b2911	5543	7102	6946	3318
b2912	98	108	89	42
b4446	23	26	16	13
b4665	10	8	4	2
b2913	20167	26831	22051	14674
b2914	1123	1492	1525	1024
b2915	31	10	10	8
b2916	580	654	596	406
b2917	133	56	62	49
b2918	48	12	14	11
b2919	34	16	15	9
b2920	94	42	34	25
b2921	56	41	32	14
b2922	819	1029	1098	725
b2923	146	201	117	88
b2924	3845	5543	5553	3662
b2925	11845	15272	15922	9418
b2926	11466	15270	15742	9970
b2927	1386	1686	1306	854
b2928	135	176	130	63
b2929	166	209	174	93
b2930	72	34	26	15
b4465	61	19	14	17
b2933	53	11	10	7
b2934	11	1	2	0
b2935	8437	11672	10597	6888
b2936	190	195	425	257
b2937	525	548	723	439
b2938	2783	3025	3981	2383
b2939	93	102	151	86
b2940	97	114	127	80
b2942	9186	13065	10664	6654
b2943	293	334	451	302
b2944	71	54	56	29
b2945	47	35	9	10
b2946	283	309	338	177
b2947	780	888	868	630
b2948	448	627	563	305
b2949	104	141	138	71
b2950	90	82	45	38
b2951	242	344	275	159
b2952	292	364	294	199
b2953	70	102	81	59
b2954	195	227	237	132
b2955	285	337	283	197
b2956	41	21	21	16
b2957	459	569	120	69
b2958	244	303	300	184
b2959	741	950	850	570
b2960	485	529	578	365
b2961	305	330	361	231
b2962	93	148	110	107
b2963	173	221	208	122
b2964	159	199	183	115
b2965	453	514	602	393
b2966	72	79	30	14
b2967	4	3	0	3
b2968	37	19	22	13
b2969	226	245	157	95
b2970	42	19	6	7
b2971	17	24	10	2
b2972	80	60	42	30
b4466	520	421	295	227
b2975	99	29	36	18
b2976	437	474	550	369
b2977	75	102	105	71
b4467	111	94	93	80
b4468	55	25	24	22
b2979	102	56	37	34
b2980	69	32	50	34
b2981	53	18	19	21
b2982	353	448	446	264
b2983	54	26	33	15
b2984	47	2	2	5
b2985	24	10	3	6
b2986	16	5	2	0
b2987	69	13	15	13
b2988	1934	2707	2261	1390
b2989	842	1091	1324	797
b2990	113	132	98	83
b2991	80	84	119	67
b2992	180	219	235	125
b2993	239	275	273	184
b2994	1114	1489	1414	969
b2995	507	622	655	388
b2996	951	1204	1066	716
b2997	1038	1218	1243	767
b2998	18	6	9	2
b4658	150	172	341	185
b3001	203	228	327	198
b3002	130	160	403	189
b3003	137	143	383	265
b3005	64	65	40	17
b3006	168	186	103	92
b3008	1352	1707	1241	755
b3009	181	215	148	100
b3010	119	94	87	66
b3011	643	865	398	243
b3012	258	299	402	223
b3013	38	22	13	9
b3014	20	14	10	8
b4469	696	751	629	394
b3017	708	792	652	458
b3018	218	286	246	146
b3019	1277	1548	1365	954
b3020	229	286	196	112
b3021	45	86	72	27
b3022	93	124	112	71
b3023	75	83	69	61
b3024	354	467	554	363
b3025	115	92	63	61
b3026	146	129	68	60
b3027	11	2	3	0
b3028	357	436	490	311
b3029	1087	1491	1041	684
b3030	1071	1412	1192	776
b3031	219	260	234	135
b3032	703	822	704	493
b3033	176	263	247	114
b3034	277	370	306	223
b3035	2414	2973	2969	1924
b3037	664	783	865	534
b3038	509	614	701	380
b3039	110	83	95	49
b3040	337	408	341	222
b3041	822	1031	801	487
b3042	251	245	253	139
b3043	15	0	3	1
b3046	62	25	24	21
b3044	59	64	69	42
b3045	110	107	102	55
b3047	11	5	9	1
b3048	37	30	33	17
b3049	156	213	310	199
b3050	13	4	5	4
b3051	87	12	19	9
b4447	42	54	29	17
b4664	6	12	11	4
b4611	43	35	29	27
b4666	41	35	45	38
b3052	1183	1506	1468	998
b3053	1500	1741	1586	1040
b3054	794	936	758	532
b3055	419	486	536	233
b3056	686	732	613	412
b3057	325	415	321	213
b3058	112	103	80	75
b3059	190	165	109	67
b3060	108	94	23	21
b3061	65	16	20	14
b3062	32	6	14	8
b3063	125	65	56	39
b3064	435	503	411	279
b3065	4990	5967	3724	2600
b3066	972	1287	833	578
b3067	3094	4244	4135	2802
b3068	239	274	237	151
b3069	2	1	1	0
b3070	86	37	25	20
b3071	331	352	251	196
b3072	148	107	81	88
b3073	218	204	988	536
b3074	20	10	33	20
b3075	97	89	70	58
b3076	179	36	38	29
b3077	8	3	0	0
b3078	51	3	6	2
b3079	65	3	11	7
b3080	134	29	18	23
b3081	124	31	34	25
b3082	30	26	25	13
b3083	24	24	10	15
b3084	181	159	117	77
b3085	72	62	67	41
b3086	34	5	7	5
b3087	239	306	333	214
b3088	59	24	17	17
b3089	8652	10751	7553	4660
b3090	198	214	151	97
b3091	131	113	70	36
b3092	196	172	64	47
b3093	130	87	86	69
b3094	355	465	310	163
b3095	199	215	182	98
b3096	73	91	88	44
b3097	764	1089	1322	848
b3098	1024	1377	1913	1369
b3099	1079	1383	1931	1172
b3100	315	357	535	381
b3101	24	18	16	7
b3102	162	127	260	153
b3103	281	352	297	203
b3104	18	8	6	4
b3105	391	437	392	243
b3106	49	29	30	23
b3107	46	70	34	20
b4470	163	133	86	51
b3110	72	68	19	22
b4471	80	45	38	39
b3113	32	11	15	14
b3114	125	71	47	35
b3115	39	12	19	4
b3116	77	65	47	28
b3117	33	4	3	1
b3118	33	3	6	2
b3119	2	0	1	0
b3120	7	1	1	1
b3121	13	1	0	1
b3123	56862	73664	46534	32523
b3124	151	120	89	72
b3125	119	104	95	70
b3126	38	13	11	16
b3127	71	5	6	5
b3128	192	135	96	73
b3129	86	145	126	73
b3130	128	171	130	90
b3131	606	768	517	383
b3132	72	26	15	17
b3133	12	9	10	8
b3134	36	10	8	10
b3135	54	15	21	11
b3136	57	35	10	15
b3137	22	3	5	6
b3138	9	2	3	3
b3139	21	3	3	5
b3140	23	6	5	6
b3141	28	7	4	3
b3142	23	5	5	5
b3143	23	1	3	2
b3144	171	133	110	69
b3145	82	65	46	35
b3146	203	265	190	127
b3147	662	831	710	455
b3148	108	133	79	83
b3149	429	516	512	293
b3150	327	424	346	251
b3151	507	527	410	267
b3152	104	145	124	100
b3153	56	87	206	114
b3154	58	69	89	61
b3155	153	193	67	41
b3156	537	684	235	159
b3157	956	1249	451	275
b3158	481	573	4	5
b3159	421	465	24	19
b3160	134	92	338	228
b3161	294	324	361	217
b3162	2446	2944	1997	1218
b4685	49	70	46	27
b3163	1997	2793	1866	1220
b3164	7393	9506	7581	4744
b4449	160	160	143	75
b3165	1669	1930	1579	946
b3166	596	788	643	386
b3167	402	487	385	270
b3168	8214	10734	8556	5780
b3169	3480	4540	3408	2221
b3170	727	986	694	450
b3171	79	106	63	39
b3172	4233	5600	6648	4150
b3173	100	90	85	38
b3174	5	3	0	1
b3175	2227	2924	1537	995
b3176	2106	2438	2293	1433
b3177	497	585	415	343
b3178	6424	7994	7615	4844
b3179	953	1223	1137	673
b3180	481	587	484	320
b3181	259	353	266	155
b3182	271	250	216	155
b3183	923	1168	928	576
b3184	416	459	370	234
b3185	1142	1144	963	571
b3186	5895	7145	5682	3986
b3187	1054	1311	1214	802
b3188	69	68	59	40
b3189	1538	2014	1754	1110
b3190	309	414	366	227
b3191	93	115	111	102
b3192	750	901	911	617
b3193	364	406	350	260
b3194	518	634	479	295
b3195	656	783	593	381
b3196	306	375	302	185
b3197	790	1023	901	639
b3198	478	571	532	335
b3199	260	360	331	195
b3200	536	714	629	387
b3201	725	777	776	565
b3202	1815	2328	2279	1490
b3203	623	917	884	568
b3204	575	854	751	431
b3205	859	1131	1068	600
b3206	36	52	30	19
b3207	206	264	199	117
b3208	194	230	189	114
b3209	581	746	611	453
b4450	52	57	55	38
b3210	736	836	786	522
b3211	223	214	19	15
b3212	31484	37967	50863	34762
b3213	11079	13596	17953	11634
b3214	91	104	116	66
b3215	27	13	8	6
b3216	126	79	72	53
b4569	31	22	19	10
b3218	396	482	442	294
b3219	53	53	47	28
b3220	47	20	23	17
b3221	47	59	70	34
b3222	117	112	134	95
b3223	63	36	28	25
b3224	103	28	47	32
b3225	52	19	37	16
b3226	325	347	357	230
b3227	84	40	25	21
b3228	534	718	572	411
b3229	1465	1956	1579	1090
b3230	5772	6692	5460	3210
b3231	6083	7149	5775	4042
b3232	243	285	309	207
b3233	833	935	836	551
b3234	464	521	565	350
b3235	250	354	319	176
b3236	516	690	1675	1022
b3237	340	474	384	243
b3238	34	29	38	22
b3239	48	58	67	40
b3240	131	45	42	33
b3241	68	43	35	25
b3242	22	44	31	19
b3243	201	237	156	94
b3244	1026	1226	1114	668
b4472	584	549	488	303
b3247	771	926	733	502
b3248	485	500	415	290
b3249	176	214	173	114
b3250	688	755	642	403
b3251	3014	3653	3215	2131
b3252	408	445	391	242
b3253	873	1130	598	400
b4697	15	14	7	5
b4646	20	13	9	7
b3255	1528	2098	1775	1102
b3256	2839	3485	3112	2013
b3257	27	32	18	14
b3258	209	175	154	77
b3259	311	347	290	210
b3260	2487	3119	1357	844
b3261	674	830	380	203
b3262	48	21	19	15
b3263	8	3	5	3
b3264	22	3	5	4
b3265	45	10	20	10
b3266	156	98	56	51
b3267	22	19	46	20
b3268	77	53	53	36
b3269	47	19	17	14
b3270	45	15	13	8
b3271	63	44	40	24
b3272	59	75	68	59
b3273	61	70	30	31
b3274	1382	2048	1200	923
b3275	2685895	3080407	3070303	1833651
b3276	26	38	20	20
b3277	131	175	88	46
b3278	336924	309344	428159	224893
b3279	413	497	488	297
b3280	121	154	170	108
b3281	298	393	437	287
b3282	150	215	229	169
b3283	270	348	286	184
b3284	495	730	590	407
b4473	449	475	397	278
b3287	383	521	525	328
b3288	731	921	860	611
b3289	459	625	534	336
b3290	386	463	507	358
b3291	344	445	392	317
b4550	80	111	91	76
b3292	137	170	164	121
b3293	157	190	188	140
b3294	2664	3402	2522	1728
b3295	20827	26561	22953	14964
b3296	14198	18236	14823	10036
b3297	8917	11285	9563	5969
b3298	11924	15517	12710	7921
b3299	2154	2645	2266	1499
b3300	20980	26636	23467	14081
b3301	11361	13797	12147	7680
b3302	2522	3289	2809	1624
b3303	8915	11320	9739	6424
b3304	4890	6500	6000	3529
b3305	11471	13699	11862	7427
b3306	6428	8349	7263	4602
b3307	7638	9652	8086	5474
b3308	13147	17084	14556	8320
b3309	5159	6906	5375	3346
b3310	15040	18145	13873	8737
b3311	1283	1525	1231	690
b3312	3205	4190	3723	2152
b3313	8498	11266	9410	5978
b3314	14612	18266	15818	9878
b3315	5746	7381	6506	4031
b3316	6050	7904	6962	4397
b3317	15763	18713	16383	10632
b3318	5504	6930	5817	3837
b3319	10710	13363	11117	6953
b3320	13820	17912	15044	9328
b3321	6361	7931	6613	4461
b3322	18	23	19	17
b3323	67	27	17	8
b3324	25	10	20	10
b3325	109	49	124	62
b3326	64	26	32	31
b3327	67	37	43	25
b3328	16	8	7	4
b3329	22	4	2	4
b3330	15	0	2	1
b3331	33	7	4	2
b3332	56	28	25	21
b3333	72	52	25	29
b3334	22	15	10	4
b3335	92	79	93	67
b3336	639	779	1555	1001
b3337	10	12	13	15
b3338	238	190	165	120
b3339	36773	45786	41602	28781
b3340	48989	62553	56131	35226
b3341	9680	12937	11834	7219
b3342	9369	11082	9440	6564
b3343	113	162	150	95
b3344	117	179	183	108
b3345	240	331	278	184
b3346	900	1141	943	667
b3347	884	1294	1112	647
b3348	85	88	55	42
b3349	2946	3339	3268	2075
b4551	20	34	49	34
b3350	166	75	133	107
b3351	65	27	78	55
b3352	674	740	672	451
b3353	260	266	263	187
b3354	97	117	139	76
b3355	280	329	344	219
b3356	414	573	514	350
b3357	1467	2006	1965	1129
b3358	939	1119	1104	706
b3359	3579	4777	5036	3436
b3360	73	86	96	67
b3361	136	187	240	134
b3362	65	75	116	74
b3363	261	340	369	228
b3364	263	333	206	103
b3365	1777	2925	53	35
b3366	89	154	0	3
b3367	151	194	22	13
b3368	389	507	320	223
b3369	5	3	2	0
b3370	57	8	14	8
b3371	55	22	18	19
b4474	60	39	24	22
b3374	69	25	43	21
b3375	108	121	112	78
b3376	92	46	43	43
b3377	65	39	19	10
b3378	15	8	11	5
b3379	51	21	16	11
b3380	81	10	11	8
b3381	53	6	8	5
b3382	20	7	8	2
b3383	80	72	41	31
b3384	1407	1913	1750	1167
b3385	640	776	780	528
b3386	672	924	850	539
b3387	361	452	350	250
b3388	2121	2766	2454	1628
b3389	2251	2804	2494	1644
b3390	1260	1822	1333	897
b3391	74	33	29	20
b3392	14	10	2	7
b3393	14	6	3	4
b3394	36	17	13	8
b3395	99	58	57	37
b3396	807	935	881	594
b3397	130	128	170	102
b3398	290	299	268	176
b3399	245	287	271	183
b3400	142	176	193	123
b3401	357	425	472	297
b3402	217	175	135	104
b3403	735	910	1270	815
b3404	304	313	290	210
b3405	554	568	663	380
b3406	80	64	65	36
b3407	1549	1850	1629	1204
b3408	61	89	15	13
b3409	774	1088	176	121
b3410	26	34	8	5
b3411	78	56	36	28
b3412	193	181	138	106
b3413	283	312	246	173
b3414	512	611	450	291
b3415	140	114	99	65
b3416	595	559	624	364
b3417	837	970	951	611
b3418	1244	1420	1880	1155
b4475	172	140	113	85
b3421	156	129	129	96
b3422	202	130	144	89
b3423	289	364	356	214
b3424	373	393	375	245
b3425	60	99	144	82
b3426	130	55	100	67
b3427	19	28	32	15
b3428	2287	2940	3963	2588
b3429	1902	2623	3371	2172
b3430	2020	2753	3475	2399
b3431	1491	1977	2607	1716
b3432	3622	4813	6301	4019
b3433	7238	9687	13372	8664
b3434	103	109	54	42
b4476	115	88	50	39
b3437	33	26	15	23
b3438	364	459	354	241
b3439	146	152	180	83
b3440	525	662	649	443
b4451	2	0	0	2
b3441	113	90	88	34
b3442	11	1	0	2
b3443	10	0	1	0
b3444	11	11	6	3
b3445	40	35	23	19
b3446	20	6	22	3
b3447	376	268	491	287
b3448	87	100	118	87
b3449	133	152	168	131
b3450	141	129	145	80
b3451	46	14	12	9
b3452	48	12	6	9
b3453	79	26	33	28
b3454	845	844	563	420
b3455	653	723	531	344
b3456	1338	1477	1003	594
b3457	1098	1236	732	472
b3458	1526	1924	1127	727
b3459	64	77	70	32
b3460	5434	6114	4672	3152
b3461	1440	1899	1614	1101
b3462	633	790	680	445
b3463	491	687	560	376
b3464	1061	1437	1135	807
b3465	171	186	164	102
b3466	50	44	39	30
b3467	106	117	78	71
b3468	224	233	299	174
b3469	499	469	482	337
b3470	119	123	109	67
b3471	118	85	79	55
b3472	589	683	883	557
b3473	223	214	174	127
b3474	180	181	199	119
b3475	164	170	165	96
b3476	1111	1442	24	14
b3477	606	752	19	12
b3478	518	514	12	11
b3479	474	571	20	16
b3480	287	380	18	24
b3481	206	194	124	85
b3482	368	111	57	82
b3483	8	4	5	3
b4552	12	3	1	1
b3484	42	11	15	9
b3485	254	309	385	235
b3486	657	715	918	514
b3487	620	637	857	513
b3488	40	17	17	17
b4660	30	2	2	4
b3491	909	1396	1520	909
b3492	337	337	261	160
b3493	2416	2915	1536	939
b3494	102	144	163	145
b3495	2075	2438	2959	1680
b3496	181	123	179	148
b3497	200	172	178	115
b3498	982	1192	1311	798
b3499	203	222	185	139
b3500	1149	1483	1415	990
b4613	59	66	48	28
b4712	9	7	7	4
b4713	0	1	0	0
b3501	18	16	14	11
b3502	104	45	52	46
b3503	24	21	31	19
b3504	12	5	1	3
b3505	378	436	430	276
b3506	3277	4866	3987	2429
b3507	359	485	288	199
b3508	878	1251	870	536
b3509	4039	6083	5452	3274
b3510	15725	22510	18586	13181
b3511	3735	5665	5649	3516
b4704	268	398	142	116
b3512	1247	2037	1471	1062
b3513	2226	3385	2322	1680
b3514	4624	7001	4579	3375
b3515	528	666	629	396
b4452	64	64	85	39
b3516	886	1381	1510	912
b3517	9895	14500	22032	14209
b3518	129	107	47	31
b3519	254	280	485	314
b3520	40	27	32	17
b3521	80	74	50	30
b3522	157	142	210	146
b3523	824	951	1281	821
b3524	288	233	329	231
b3525	44	11	11	3
b3526	493	623	447	293
b3527	510	543	532	368
b3528	153	121	456	260
b3529	340	302	344	220
b3530	411	281	262	230
b3531	64	26	31	12
b3532	165	53	49	54
b3533	136	42	50	40
b3534	62	39	23	22
b3535	39	53	47	36
b3536	359	353	403	266
b3537	12	17	21	3
b3538	168	136	147	98
b4453	30	36	22	22
b4454	18	5	8	8
b3539	189	250	147	88
